abgeben, vydávat
auspacken, rozbalit
ausrutschen, uklouznout
denken, myslet
gratulieren, gratulovat
küssen, libat
lachen, smát se
leihen, půjčit
nachdenken, meditovat
putzen, čistit
schicken, poslat
berühmt, slavný
riesig, obrovský
salzig, slaný
fit, vhodný
sauber, čistý
traurig, smutný
zufrieden, spokojený
kostenlos, zdarma
pleite, na mizině
dreckig, špinavý
also, takže
besonders, obzvláště
diese, tento
enige -r, pár
meistens, většinou
letzte -r,poslední
sogar, dokonce
vorbei, přes
laufen, běhat
r Kürbis, dýně
r Fledermaus, netopýr
r Grabstein, náhrobní kámen
r Zaun, plot
e Hand, ruka
s Kreuz, kříž
e Hexe, čarodějnice
r Skelet, kostlivec
zaubern, čarovat
r Himmel, nebe
erschrecken, leknout se
e Zettel, cedule
e Wolke, mrak
schrecken, strašit

